run,question_id,human_correctness,human_faithful,human_claim_supports,n_claims,note
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,3e0fd1a3944e207edbbe7c7108239dbaf3bccd4f,correct,True,"[""supported""]",1,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,2803709fba74e6098aae145abcbf0e9a3f4c35e5,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,23fe8431058f2a7b7588745766fc715f271aad07,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,919681faa9731057b3fae5052b7da598abd3e04b,correct,True,"[""supported"", ""supported"", ""supported"", ""supported"", ""supported""]",5,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,72dbdd11b655b25b2b254e39689a7d912f334b71,partial,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,9d6b2672b11d49c37a6bfb06172d39742d48aef4,partial,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,8f6b11413a19fe4639b3fba88fc6b3678286fa0c,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,ed15a593d64a5ba58f63c021ae9fd8f50051a667,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,e862ebfdb1b3425af65fec81c8984edca6f89a76,correct,True,"[""supported"", ""supported"", ""supported""]",3,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,dae2f135e50d77867c3f57fc3cb0427b2443e126,correct,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,cb7a00233502c4b7801d34bc95d6d22d79776ae8,correct,True,"[""supported"", ""supported"", ""supported"", ""supported""]",4,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,4999da863ecbd40378505bfb1f4e395061a3f559,incorrect,True,"[""supported"", ""supported""]",2,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,27356a99290fcc01e3e5660af3405d2a6c6f6e7c,correct,True,"[""supported"", ""supported"", ""supported"", ""supported"", ""supported""]",5,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,08b77c52676167af72581079adf1ca2b994ce251,correct,True,"[""supported"", ""supported"", ""supported"", ""supported"", ""supported""]",5,
rag__paragraph-256-0_bge-small-ft_dense_norerank_doc__k5,2dba0b83fc22995f83e7ac66cc8f68bcdcc70ee9,correct,True,"[""supported"", ""supported"", ""supported"", ""supported"", ""supported""]",5,
